### multi,format,version,tunes
ymxs,1,1

### tune,title,composer,writer,rate,frames,repeat
Synergy Credits Screen.,Scavenger / Synergy,ym-to-ymxs,50,5377,0

### source,name,repeat
square 15,0

### value,row,value
0,15
1,0

### source,name,repeat
square 13,0

### value,row,value
0,13
1,0

### source,name,repeat
square 14,0

### value,row,value
0,14
1,0

### source,name,repeat
square 12,0

### value,row,value
0,12
1,0

### source,name,repeat
square 11,0

### value,row,value
0,11
1,0

### source,name,repeat
square 10,0

### value,row,value
0,10
1,0

### source,name,repeat
square 9,0

### value,row,value
0,9
1,0

### source,name,repeat
square 8,0

### value,row,value
0,8
1,0

### source,name,repeat
square 7,0

### value,row,value
0,7
1,0

### row,row,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13
0,245,5,237,5,123,1,28,61,16,,0,95,0,8
1,217,11,,,,,0,,,,,189,,
12,,,,,225,5,,57,,,,,,
13,,,,,237,,,,,,,,,
24,249,,,,,,,,,,,191,,
25,217,,218,,,,13,,,,,189,,
26,,,206,,,,1,,,,,,,
28,,,218,,,,13,,,,,,,
29,,,237,,,,0,,,,,,,
30,,,255,,,,18,,,,,,,
31,,,11,6,,,30,,,,,,,
33,,,255,5,,,18,,,,,,,
34,,,237,,,,0,,,,,,,
35,,,218,,,,13,,,,,,,
36,,,206,,251,,30,,,,,,,
37,,,,,255,,18,,,,,,,
38,,,218,,237,,0,,,,,,,
39,,,237,,218,,13,,,,,,,
40,,,255,,206,,1,,,,,,,
41,,,11,6,,,,,,,,,,
42,,,,,218,,13,,,,,,,
43,,,255,5,237,,0,,,,,,,
44,,,237,,255,,18,,,,,,,
45,,,218,,11,6,30,,,,,,,
46,,,206,,,,,,,,,,,
47,,,,,255,5,18,,,,,,,
48,,,218,,237,,0,,,,,,,
49,,,237,,218,,13,,,,,,,
50,,,255,,206,,1,,,,,,,
51,,,11,6,,,,,,,,,,
52,,,,,218,,13,,,,,,,
53,,,255,5,237,,0,,,,,,,
54,,,237,,255,,18,,,,,,,
55,,,218,,11,6,30,,,,,,,
56,,,206,,,,,,,,,,,
57,,,,,255,5,18,,,,,,,
58,,,218,,237,,0,,,,,,,
59,,,237,,218,,13,,,,,,,
60,,,255,,206,,1,,,,,,,
61,,,11,6,,,,,,,,,,
62,,,,,218,,13,,,,,,,
63,,,255,5,237,,0,,,,,,,
64,,,237,,255,,18,,,,,,,
65,,,218,,11,6,30,,,,,,,
66,,,206,,,,,,,,,,,
67,,,,,255,5,18,,,,,,,
68,,,218,,237,,0,,,,,,,
69,,,237,,218,,13,,,,,,,
70,,,255,,206,,1,,,,,,,
71,,,11,6,,,,,,,,,,
72,,,,,218,,13,,,,,,,
73,,,255,5,237,,0,,,,,,,
74,,,237,,255,,18,,,,,,,
75,,,218,,11,6,30,,,,,,,
76,,,206,,,,,,,,,,,
77,,,,,255,5,18,,,,,,,
78,,,218,,237,,0,,,,,,,
79,,,237,,218,,13,,,,,,,
80,,,255,,206,,1,,,,,,,
81,,,11,6,,,,,,,,,,
82,,,,,218,,13,,,,,,,
83,,,255,5,237,,0,,,,,,,
84,,,237,,255,,18,,,,,,,
85,,,218,,11,6,30,,,,,,,
86,,,206,,,,,,,,,,,
87,,,,,255,5,18,,,,,,,
88,,,218,,237,,0,,,,,,,
89,,,237,,218,,13,,,,,,,
90,,,255,,206,,1,,,,,,,
91,,,11,6,,,,,,,,,,
92,,,,,218,,13,,,,,,,
93,,,255,5,237,,0,,,,,,,
94,,,237,,255,,18,,,,,,,
95,,,218,,11,6,30,,,,,,,
96,,,206,,,,,,,,,,,
97,,,,,255,5,18,,,,,,,
98,,,218,,237,,0,,,,,,,
99,,,237,,218,,13,,,,,,,
100,,,255,,206,,1,,,,,,,
101,,,11,6,,,,,,,,,,
102,,,,,218,,13,,,,,,,
103,,,255,5,237,,0,,,,,,,
104,,,237,,255,,18,,,,,,,
105,,,218,,11,6,30,,,,,,,
106,,,206,,,,,,,,,,,
107,,,,,255,5,18,,,,,,,
108,,,218,,237,,0,,,,,,,
109,,,237,,218,,13,,,,,,,
110,,,255,,206,,1,,,,,,,
111,,,11,6,,,,,,,,,,
112,,,,,218,,13,,,,,,,
113,,,255,5,237,,0,,,,,,,
114,,,237,,255,,18,,,,,,,
115,,,218,,11,6,30,,,,,,,
116,,,206,,,,,,,,,,,
117,,,,,255,5,18,,,,,,,
118,,,218,,237,,0,,,,,,,
119,,,237,,218,,13,,,,,,,
120,,,255,,206,,1,,,,,,,
121,,,11,6,,,,,,,,,,
122,,,,,218,,13,,,,,,,
123,,,255,5,237,,0,,,,,,,
124,,,237,,255,,18,,,,,,,
125,,,218,,11,6,30,,,,,,,
126,,,206,,,,,,,,,,,
127,,,,,255,5,18,,,,,,,
128,,,218,,237,,0,,,,,,,
129,,,237,,218,,13,,,,,,,
130,,,255,,206,,1,,,,,,,
131,,,11,6,,,,,,,,,,
132,,,,,218,,13,,,,,,,
133,,,255,5,237,,0,,,,,,,
134,,,237,,255,,18,,,,,,,
135,,,218,,11,6,30,,,,,,,
136,,,206,,,,,,,,,,,
137,,,,,255,5,18,,,,,,,
138,,,218,,237,,0,,,,,,,
139,,,237,,218,,13,,,,,,,
140,,,255,,206,,1,,,,,,,
141,,,11,6,,,,,,,,,,
142,,,,,218,,13,,,,,,,
143,,,255,5,237,,0,,,,,,,
144,,,237,,255,,18,,,,,,,
145,,,218,,11,6,30,,,,,,,
146,,,206,,,,,,,,,,,
147,,,,,255,5,18,,,,,,,
148,,,218,,237,,0,,,,,,,
149,,,237,,218,,13,,,,,,,
150,,,255,,206,,1,,,,,,,
151,,,11,6,,,,,,,,,,
152,,,,,218,,13,,,,,,,
153,,,255,5,237,,0,,,,,,,
154,,,237,,255,,18,,,,,,,
155,,,218,,11,6,30,,,,,,,
156,,,206,,,,,,,,,,,
157,,,,,255,5,18,,,,,,,
158,,,218,,237,,0,,,,,,,
159,,,237,,218,,13,,,,,,,
160,,,255,,206,,1,,,,,,,
161,,,11,6,,,,,,,,,,
162,,,,,218,,13,,,,,,,
163,,,255,5,237,,0,,,,,,,
164,,,237,,255,,18,,,,,,,
165,,,218,,11,6,30,,,,,,,
166,,,206,,,,,,,,,,,
167,,,,,255,5,18,,,,,,,
168,,,237,,237,,0,,,,,,,
169,,,,,218,,13,,,,,,,
170,,,,,206,,1,,,,,,,
172,,,,,218,,13,,,,,,,
173,,,,,237,,0,,,,,,,
174,,,,,255,,18,,,,,,,
175,,,,,11,6,30,,,,,,,
177,,,,,255,5,18,,,,,,,
178,,,,,237,,0,,,,,,,
179,,,,,218,,13,,,,,,,
180,,,,,225,,0,,,,,,,
181,,,,,237,,,,,,,,,
192,127,7,119,7,,,,,,,,119,,
193,238,14,,,,,,,,,,238,,
204,,,,,107,7,,,,,,,,
205,,,,,119,,,,,,,,,
216,,,100,,,,13,,,,,,,
217,,,119,,,,0,,,,,,,
218,,,137,,,,18,,,,,,,
219,,,149,,,,30,,,,,,,
221,,,137,,,,18,,,,,,,
222,14,15,119,,,,0,,,,,240,,
223,238,14,100,,,,13,,,,,238,,
224,,,88,,,,1,,,,,,,
226,,,100,,,,13,,,,,,,
227,,,119,,,,0,,,,,,,
228,,,137,,72,,1,,,,,,,
229,,,149,,88,,,,,,,,,
230,,,,,100,,13,,,,,,,
231,,,137,,119,,0,,,,,,,
232,,,119,,137,,18,,,,,,,
233,,,100,,149,,30,,,,,,,
234,,,88,,,,,,,,,,,
235,,,,,137,,18,,,,,,,
236,,,100,,119,,0,,,,,,,
237,,,119,,100,,13,,,,,,,
238,,,137,,88,,1,,,,,,,
